Jour;Catégorie client;Puissance moyenne journalière (W)
2020-11-18;Résidentiels;17954125756.0
2020-11-18;Entreprises;13601111763.0
2020-11-16;Entreprises;12891024474.0
2020-11-15;Résidentiels;17572146133.0
2020-11-14;Entreprises;9509692828.0
2020-11-14;PME / PMI;3687036551.0
2020-11-13;Professionnels;4507331335.0
2020-11-12;Entreprises;12989271213.0
2020-11-11;Résidentiels;17631606633.0
2020-11-10;Entreprises;13363840275.0
2020-11-09;PME / PMI;4771887238.0
2020-11-07;Résidentiels;18486301558.0
2020-11-02;Entreprises;12666042343.0
2020-11-01;Entreprises;8460353265.0
2020-11-01;PME / PMI;2981106649.0
2020-10-26;Entreprises;13023553881.0
2020-10-25;Entreprises;8584604626.0
2020-10-25;Professionnels;3948703299.0
2020-10-19;Résidentiels;18693153548.0
2020-10-13;PME / PMI;5584586394.0
2020-10-12;Résidentiels;17103634494.0
2020-10-06;Résidentiels;15289573280.0
2020-10-06;Entreprises;13921735240.0
2020-09-29;Entreprises;13819946449.0
2020-09-28;PME / PMI;5223843267.0
2020-09-28;Professionnels;4277441442.0
2020-09-24;Résidentiels;10823466363.0
2020-09-22;Résidentiels;10607764079.0
2020-09-20;PME / PMI;3369332507.0
2020-09-17;Résidentiels;11881467424.0
2020-09-17;Entreprises;14352627525.0
2020-09-16;Entreprises;14478362017.0
2020-09-16;Professionnels;4466903015.0
2020-09-14;Professionnels;4387398067.0
2020-09-13;Résidentiels;13827203386.0
2020-09-09;Entreprises;14011578204.0
2020-09-08;PME / PMI;5560837055.0
2020-08-31;Professionnels;3720845681.0
2020-08-30;Résidentiels;12521044243.0
2020-08-27;Professionnels;4087903817.0
2020-08-25;PME / PMI;4988624335.0
2020-08-24;Résidentiels;11738263767.0
2020-08-21;PME / PMI;4917777155.0
2020-08-20;Entreprises;12802318831.0
2020-08-20;Professionnels;4118440302.0
2020-08-19;Entreprises;12360297911.0
2020-08-18;Entreprises;12164124689.0
2020-08-17;PME / PMI;4842897970.0
2020-08-16;PME / PMI;3654687018.0
2020-08-16;Professionnels;3300812723.0
2020-08-12;Entreprises;12193555281.0
2020-08-10;Entreprises;11779081181.0
2020-08-06;Entreprises;12354981738.0
2020-08-06;Professionnels;4230842728.0
2020-08-05;Professionnels;4099021486.0
2020-08-03;Résidentiels;11743181193.0
2020-08-02;Professionnels;3466155086.0
2020-07-30;Entreprises;13764057404.0
2020-07-28;Professionnels;4112442549.0
2020-07-27;Résidentiels;11986129198.0
2020-07-25;Entreprises;9989909622.0
2020-07-21;Entreprises;14148822740.0
2020-07-17;Professionnels;3931781509.0
2020-07-16;Entreprises;13799836366.0
2020-07-14;Entreprises;10511157911.0
2020-07-10;Entreprises;13705132225.0
2020-07-10;Professionnels;3979405357.0
2020-07-07;Résidentiels;11348740916.0
2020-07-06;Professionnels;3681972064.0
2020-07-05;Entreprises;8896901041.0
2020-07-02;Résidentiels;11175452097.0
2020-07-01;Entreprises;13958697606.0
2020-06-25;PME / PMI;4762504688.0
2020-06-24;PME / PMI;4705049957.0
2020-06-24;Professionnels;3862207673.0
2020-06-22;Entreprises;12348003125.0
2020-06-20;Résidentiels;11554286290.0
2020-06-17;Entreprises;12793166990.0
